[rosmaster.main][INFO] 2023-09-20 12:30:42,581: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-20 12:30:42,581: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-20 12:30:42,584: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-20 12:30:42,585: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-20 12:30:42,585: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-20 12:30:42,585: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-20 12:30:42,673: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,676: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__44755] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/ordered_pc] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/confidence_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/color_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/fisheye_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/wait_for_device_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,853: +PARAM [/camera/realsense2_camera/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/fisheye2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/fisheye_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/enable_fisheye2] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/enable_fisheye1] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/accel_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/fisheye1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:30:42,854: +PARAM [/camera/realsense2_camera/allow_no_texture_points] by /roslaunch
