[rosmaster.main][INFO] 2023-09-20 12:59:36,381: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-20 12:59:36,381: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-20 12:59:36,382: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-20 12:59:36,383: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-20 12:59:36,383: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-20 12:59:36,383: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-20 12:59:36,483: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,487: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__44141] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,682: +PARAM [/open_base/left_joint_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,682: +PARAM [/open_base/left_joint_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/parameter/initial/y] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/parameter/initial/x] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/left_joint_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/right_joint_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/right_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/right_joint_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,683: +PARAM [/open_base/parameter/initial/theta] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/open_base/right_joint_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/open_base/back_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/open_base/parameter/stop/angle] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/open_base/parameter/max/omega] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/open_base/back_joint_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/open_base/back_joint_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,684: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/left_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/back_joint_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/robot_description] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/right_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/parameter/stop/distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/back_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/parameter/max/v] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/parameter/control/P] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/parameter/wheel/radius] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,685: +PARAM [/open_base/parameter/control/I] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,686: +PARAM [/open_base/left_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,686: +PARAM [/open_base/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:59:36,693: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:35439/
[rosmaster.master][INFO] 2023-09-20 12:59:36,695: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:35439/
[rosmaster.master][INFO] 2023-09-20 12:59:36,697: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:35439/
[rosmaster.master][INFO] 2023-09-20 12:59:36,700: +SUB [/rosout] /rosout http://LAPTOP-CB8EFKQO:35439/
[rosmaster.master][INFO] 2023-09-20 12:59:36,938: +PUB [/rosout] /open_base/robot_state_publisher http://LAPTOP-CB8EFKQO:43097/
[rosmaster.master][INFO] 2023-09-20 12:59:36,939: +SERVICE [/open_base/robot_state_publisher/get_loggers] /open_base/robot_state_publisher http://LAPTOP-CB8EFKQO:43097/
[rosmaster.master][INFO] 2023-09-20 12:59:36,940: +SERVICE [/open_base/robot_state_publisher/set_logger_level] /open_base/robot_state_publisher http://LAPTOP-CB8EFKQO:43097/
[rosmaster.master][INFO] 2023-09-20 12:59:36,941: +CACHEDPARAM [/rosout_disable_topics_generation] by /open_base/robot_state_publisher
[rosmaster.master][INFO] 2023-09-20 12:59:36,946: +PUB [/tf] /open_base/robot_state_publisher http://LAPTOP-CB8EFKQO:43097/
[rosmaster.master][INFO] 2023-09-20 12:59:36,947: +PUB [/tf_static] /open_base/robot_state_publisher http://LAPTOP-CB8EFKQO:43097/
[rosmaster.master][INFO] 2023-09-20 12:59:36,951: +SUB [/open_base/joint_states] /open_base/robot_state_publisher http://LAPTOP-CB8EFKQO:43097/
[rosmaster.master][INFO] 2023-09-20 12:59:36,983: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:35439/ ['http://LAPTOP-CB8EFKQO:43097/']
[rosmaster.master][INFO] 2023-09-20 12:59:36,995: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:35439/ ['http://LAPTOP-CB8EFKQO:43097/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2023-09-20 12:59:37,106: +PUB [/rosout] /open_base/rviz http://LAPTOP-CB8EFKQO:39149/
