[rosmaster.main][INFO] 2023-09-08 12:52:42,166: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-08 12:52:42,166: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-08 12:52:42,168: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-08 12:52:42,168: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-08 12:52:42,168: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-08 12:52:42,169: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-08 12:52:42,262: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,264: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__43805] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,444: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,444: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,444: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,445: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/ProjEST/range] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/LazyPRM/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/BiTRRT/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/robot_description_planning/joint_limits/j5/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/EST/range] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,446: +PARAM [/move_group/planner_configs/SPARStwo/max_failures] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,447: +PARAM [/move_group/planner_configs/KPIECE/failed_expansion_score_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,447: +PARAM [/move_group/planner_configs/RRTstar/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,447: +PARAM [/move_group/planner_configs/BFMT/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,447: +PARAM [/robot_description_planning/joint_limits/j3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 12:52:42,447: +PARAM [/move_group/planner_configs/STRIDE/max_pts_per_leaf] by /roslaunch
