[rosmaster.main][INFO] 2023-09-20 12:31:23,511: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-20 12:31:23,511: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-20 12:31:23,512: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-20 12:31:23,513: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-20 12:31:23,513: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-20 12:31:23,513: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-20 12:31:23,622: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,624: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__35829] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/ordered_pc] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/confidence_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/color_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/fisheye_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/wait_for_device_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,778: +PARAM [/camera/realsense2_camera/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/fisheye2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/fisheye_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/enable_fisheye2] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/enable_fisheye1] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/accel_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/fisheye1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/allow_no_texture_points] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/json_file_path] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/enable_accel] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,779: +PARAM [/camera/realsense2_camera/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,780: +PARAM [/camera/realsense2_camera/enable_sync] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,780: +PARAM [/camera/realsense2_camera/fisheye2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,781: +PARAM [/camera/realsense2_camera/depth_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,781: +PARAM [/camera/realsense2_camera/enable_pose] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,781: +PARAM [/camera/realsense2_camera/infra_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,781: +PARAM [/camera/realsense2_camera/confidence_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,781: +PARAM [/camera/realsense2_camera/infra1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,781: +PARAM [/camera/realsense2_camera/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,782: +PARAM [/camera/realsense2_camera/infra_width] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,782: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:37659/
[rosmaster.master][INFO] 2023-09-20 12:31:23,782: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,783: +PARAM [/camera/realsense2_camera/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,783: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:37659/
[rosmaster.master][INFO] 2023-09-20 12:31:23,783: +PARAM [/camera/realsense2_camera/infra_height] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,784: +PARAM [/camera/realsense2_camera/stereo_module/exposure/2] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,784: +PARAM [/camera/realsense2_camera/aligned_depth_to_color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,784: +PARAM [/camera/realsense2_camera/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,785: +PARAM [/camera/realsense2_camera/stereo_module/exposure/1] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,785: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:37659/
[rosmaster.master][INFO] 2023-09-20 12:31:23,785: +PARAM [/camera/realsense2_camera/device_type] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,786: +PARAM [/camera/realsense2_camera/calib_odom_file] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,786: +PARAM [/camera/realsense2_camera/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,787: +PARAM [/camera/realsense2_camera/aligned_depth_to_infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,787: +PARAM [/camera/realsense2_camera/color_fps] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,787: +PARAM [/camera/realsense2_camera/infra_rgb] by /roslaunch
[rosmaster.master][INFO] 2023-09-20 12:31:23,788: +PARAM [/camera/realsense2_camera/confidence_fps] by /roslaunch
