[rosmaster.main][INFO] 2023-09-05 12:58:01,198: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-05 12:58:01,198: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-05 12:58:01,199: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-05 12:58:01,199: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-05 12:58:01,200: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-05 12:58:01,200: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-05 12:58:01,317: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,321: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__44425] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,572: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,573: +PARAM [/robot_description_kinematics/rrr/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,573: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/robot_description_kinematics/rrr/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/move_group/trajectory_execution/allowed_start_tolerance] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/move_group/rrr/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,575: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/robot_description_planning/joint_limits/joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,576: +PARAM [/move_group/planner_configs/FMT/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/LazyPRM/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/BiTRRT/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/EST/range] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/SPARStwo/max_failures] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/KPIECE/failed_expansion_score_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/RRTstar/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/BFMT/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/STRIDE/max_pts_per_leaf] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/TRRT/min_temperature] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,577: +PARAM [/move_group/planner_configs/BKPIECE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/move_group/planner_configs/SPARS/max_failures] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/robot_description_planning/joint_limits/joint2/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/move_group/planner_configs/BFMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/move_group/planner_configs/STRIDE/min_degree] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/move_group/planner_configs/BFMT/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/move_group/planner_configs/SPARStwo/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/robot_description_planning/cartesian_limits/max_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,578: +PARAM [/move_group/planner_configs/BiTRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/STRIDE/range] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/PRMstar/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planning_scene_monitor/publish_geometry_updates] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/BKPIECE/range] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/LazyPRMstar/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/SPARStwo/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/BFMT/balanced] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/TRRT/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/PDST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/KPIECE/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-05 12:58:01,579: +PARAM [/move_group/planner_configs/BKPIECE/border_fraction] by /roslaunch
