[rosmaster.main][INFO] 2023-09-12 12:35:38,238: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-12 12:35:38,239: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-12 12:35:38,240: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-12 12:35:38,240: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-12 12:35:38,240: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-12 12:35:38,241: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-12 12:35:38,355: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,360: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__33425] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,545: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,545: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,545: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,545: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,545: +PARAM [/move_group/trajectory_execution/allowed_start_tolerance] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,545: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,546: +PARAM [/robot_description_planning/joint_limits/joint4/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,546: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,547: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,547: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,548: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,549: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,549: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-12 12:35:38,549: +PARAM [/robot_description_planning/joint_limits/joint3/has_acceleration_limits] by /roslaunch
