[rosmaster.main][INFO] 2023-09-25 13:03:42,726: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-25 13:03:42,727: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-25 13:03:42,728: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2023-09-25 13:03:42,728: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-25 13:03:42,728: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-25 13:03:42,729: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-25 13:03:42,785: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:42,787: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__36269] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:43,001: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:43,002: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:43,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:43,002: +PARAM [/tb3_model] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:43,002: +PARAM [/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2023-09-25 13:03:43,013: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:39933/
[rosmaster.master][INFO] 2023-09-25 13:03:43,014: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:39933/
[rosmaster.master][INFO] 2023-09-25 13:03:43,016: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:39933/
[rosmaster.master][INFO] 2023-09-25 13:03:43,019: +SUB [/rosout] /rosout http://LAPTOP-CB8EFKQO:39933/
[rosmaster.master][INFO] 2023-09-25 13:03:43,156: +PUB [/rosout] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:03:43,156: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:03:43,157: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:03:43,161: +PUB [/tf] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:03:43,162: +PUB [/tf_static] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
