[rosmaster.main][INFO] 2023-09-08 13:10:30,803: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-08 13:10:30,803: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-08 13:10:30,804: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-08 13:10:30,804: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-08 13:10:30,804: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-08 13:10:30,804: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-08 13:10:30,919: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:30,923: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__33317] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,111: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,112: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:46549/
[rosmaster.master][INFO] 2023-09-08 13:10:31,112: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,113: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:46549/
[rosmaster.master][INFO] 2023-09-08 13:10:31,113: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,114: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,114: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,115: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:46549/
[rosmaster.master][INFO] 2023-09-08 13:10:31,115: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,116: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,116: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,117: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,118: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,119: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,119: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,120: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,121: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,122: +SUB [/rosout] /rosout http://LAPTOP-CB8EFKQO:46549/
[rosmaster.master][INFO] 2023-09-08 13:10:31,122: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,122: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:10:31,122: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
