[rosmaster.main][INFO] 2023-08-25 13:20:42,280: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-08-25 13:20:42,280: Starting ROS Master Node
[xmlrpc][INFO] 2023-08-25 13:20:42,282: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-08-25 13:20:42,282: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-08-25 13:20:42,282: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-08-25 13:20:42,282: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-08-25 13:20:42,369: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,372: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__45565] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,554: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,554: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,554: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,554: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,554: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,555: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,556: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,556: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,556: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,556: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,556: +PARAM [/move_group/planner_configs/ProjEST/range] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,557: +PARAM [/move_group/planner_configs/LazyPRM/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,557: +PARAM [/move_group/planner_configs/BiTRRT/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:20:42,558: +PARAM [/robot_description_planning/joint_limits/j5/max_velocity] by /roslaunch
