[rosmaster.main][INFO] 2023-09-08 13:11:24,286: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-08 13:11:24,286: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-08 13:11:24,288: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-08 13:11:24,288: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-08 13:11:24,289: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-08 13:11:24,289: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-08 13:11:24,391: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,392: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__44607] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,553: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:37227/
[rosmaster.master][INFO] 2023-09-08 13:11:24,557: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,558: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:37227/
[rosmaster.master][INFO] 2023-09-08 13:11:24,558: +PARAM [/robot_description_kinematics/rrr/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,559: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,559: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,559: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,560: +PARAM [/robot_description_kinematics/rrr/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,560: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:37227/
[rosmaster.master][INFO] 2023-09-08 13:11:24,560: +PARAM [/move_group/trajectory_execution/allowed_start_tolerance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,561: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,561: +PARAM [/move_group/rrr/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,561: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,561: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,562: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,562: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,563: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,563: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,563: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,563: +PARAM [/robot_description_planning/joint_limits/joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,564: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,565: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:11:24,566: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
