[rosmaster.main][INFO] 2023-08-25 12:45:14,675: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-08-25 12:45:14,675: Starting ROS Master Node
[xmlrpc][INFO] 2023-08-25 12:45:14,677: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-08-25 12:45:14,678: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-08-25 12:45:14,678: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-08-25 12:45:14,678: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-08-25 12:45:14,778: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,780: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__40829] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,982: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,983: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,983: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,984: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,984: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,984: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,984: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,984: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 12:45:14,984: +PARAM [/move_group/controller_list] by /roslaunch
