[rosmaster.main][INFO] 2023-09-04 13:30:53,976: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-04 13:30:53,976: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-04 13:30:53,978: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-04 13:30:53,979: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-04 13:30:53,979: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-04 13:30:53,979: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-04 13:30:54,065: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,068: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__45717] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,283: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:44213/
[rosmaster.master][INFO] 2023-09-04 13:30:54,284: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,285: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:44213/
[rosmaster.master][INFO] 2023-09-04 13:30:54,285: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,286: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,286: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,286: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,287: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,287: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,287: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,287: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,287: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,288: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:44213/
[rosmaster.master][INFO] 2023-09-04 13:30:54,288: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-04 13:30:54,288: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
