[rosmaster.main][INFO] 2023-08-25 13:00:02,602: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-08-25 13:00:02,602: Starting ROS Master Node
[xmlrpc][INFO] 2023-08-25 13:00:02,604: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-08-25 13:00:02,604: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-08-25 13:00:02,604: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-08-25 13:00:02,604: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-08-25 13:00:02,714: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,717: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__43011] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,884: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:36455/
[rosmaster.master][INFO] 2023-08-25 13:00:02,889: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,889: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:36455/
[rosmaster.master][INFO] 2023-08-25 13:00:02,889: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,892: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,892: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:36455/
[rosmaster.master][INFO] 2023-08-25 13:00:02,892: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,893: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,894: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,894: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,895: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,895: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,896: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,896: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,897: +SUB [/rosout] /rosout http://LAPTOP-CB8EFKQO:36455/
[rosmaster.master][INFO] 2023-08-25 13:00:02,897: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,897: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,898: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,898: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,898: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,898: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,898: +PARAM [/move_group/planner_configs/ProjEST/range] by /roslaunch
[rosmaster.master][INFO] 2023-08-25 13:00:02,899: +PARAM [/move_group/planner_configs/LazyPRM/type] by /roslaunch
