[rosmaster.main][INFO] 2023-08-22 12:56:40,108: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-08-22 12:56:40,108: Starting ROS Master Node
[xmlrpc][INFO] 2023-08-22 12:56:40,110: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2023-08-22 12:56:40,111: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-08-22 12:56:40,111: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-08-22 12:56:40,112: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-08-22 12:56:40,196: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,198: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__35403] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,375: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,375: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:38775/
[rosmaster.master][INFO] 2023-08-22 12:56:40,375: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,376: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,376: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,376: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,377: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:38775/
[rosmaster.master][INFO] 2023-08-22 12:56:40,377: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,377: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,378: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,378: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,378: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,379: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,379: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:38775/
[rosmaster.master][INFO] 2023-08-22 12:56:40,379: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,379: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 12:56:40,380: +PARAM [/joint_state_publisher/source_list] by /roslaunch
