[rosmaster.main][INFO] 2023-09-21 13:04:11,689: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-21 13:04:11,690: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-21 13:04:11,693: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-21 13:04:11,693: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-21 13:04:11,693: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-21 13:04:11,694: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-21 13:04:11,778: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,780: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__32787] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/left_joint_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/left_joint_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/parameter/initial/y] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/parameter/initial/x] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/left_joint_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,969: +PARAM [/open_base/right_joint_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,970: +PARAM [/open_base/right_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,970: +PARAM [/open_base/right_joint_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,970: +PARAM [/open_base/parameter/initial/theta] by /roslaunch
[rosmaster.master][INFO] 2023-09-21 13:04:11,970: +PARAM [/open_base/right_joint_velocity_controller/pid/d] by /roslaunch
