[rosmaster.main][INFO] 2023-09-08 13:26:59,490: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-08 13:26:59,490: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-08 13:26:59,491: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-08 13:26:59,491: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-09-08 13:26:59,491: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-08 13:26:59,491: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-09-08 13:26:59,584: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,587: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__43651] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,781: +SERVICE [/rosout/get_loggers] /rosout http://LAPTOP-CB8EFKQO:41571/
[rosmaster.master][INFO] 2023-09-08 13:26:59,789: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,789: +SERVICE [/rosout/set_logger_level] /rosout http://LAPTOP-CB8EFKQO:41571/
[rosmaster.master][INFO] 2023-09-08 13:26:59,789: +PARAM [/robot_description_kinematics/rrr/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,790: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,791: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,791: +PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:41571/
[rosmaster.master][INFO] 2023-09-08 13:26:59,791: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,792: +PARAM [/robot_description_kinematics/rrr/kinematics_solver] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,792: +PARAM [/move_group/trajectory_execution/allowed_start_tolerance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,792: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,793: +PARAM [/move_group/rrr/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,794: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,794: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,795: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 13:26:59,795: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
