[rosmaster.main][INFO] 2023-08-22 13:11:41,820: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-08-22 13:11:41,820: Starting ROS Master Node
[xmlrpc][INFO] 2023-08-22 13:11:41,821: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-08-22 13:11:41,821: Started XML-RPC server [http://LAPTOP-CB8EFKQO:11311/]
[rosmaster.master][INFO] 2023-08-22 13:11:41,821: Master initialized: port[11311], uri[http://LAPTOP-CB8EFKQO:11311/]
[xmlrpc][INFO] 2023-08-22 13:11:41,822: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-08-22 13:11:41,938: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:41,941: +PARAM [/roslaunch/uris/host_laptop_cb8efkqo__42127] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/planner_configs/SPARS/dense_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/planner_configs/STRIDE/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/robot_description_planning/joint_limits/j3/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/robot_description_planning/cartesian_limits/max_trans_acc] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,118: +PARAM [/move_group/planner_configs/TRRT/frountier_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/robot_description_planning/joint_limits/j1/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/FMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/BiEST/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/ProjEST/range] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/LazyPRM/type] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/BiTRRT/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/robot_description_planning/joint_limits/j5/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/EST/range] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/SPARStwo/max_failures] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/KPIECE/failed_expansion_score_factor] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/RRTstar/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,119: +PARAM [/move_group/planner_configs/BFMT/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/robot_description_planning/joint_limits/j3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/move_group/planner_configs/STRIDE/max_pts_per_leaf] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/robot_description_planning/joint_limits/j3/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/robot_description_planning/joint_limits/j6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/move_group/planner_configs/TRRT/min_temperature] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/robot_description_planning/joint_limits/j6/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/robot_description_kinematics/puma_560/kinematics_solver_search_resolution] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/move_group/planner_configs/SPARS/max_failures] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/move_group/planner_configs/BFMT/heuristics] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/robot_description_planning/joint_limits/j4/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/move_group/planner_configs/STRIDE/min_degree] by /roslaunch
[rosmaster.master][INFO] 2023-08-22 13:11:42,120: +PARAM [/move_group/planner_configs/BFMT/radius_multiplier] by /roslaunch
